target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
002790.KS,"['090430.KS', '004170.KS', '383220.KS', '001800.KS', '302440.KS']","[0.8292432508130457, 0.5874796033299775, 0.5479395274758772, 0.5338729119492476, 0.5180932281697669]","['010130.KS', '326030.KS', '375500.KS', '007660.KS', '009420.KS']","[-0.20035396316976062, -0.07175150544337029, -0.039496677350409376, -0.03515219490776209, -0.019858328606261515]"
003090.KS,"['034730.KS', '004990.KS', '088350.KS', '069620.KS', '000240.KS']","[0.70446705226223, 0.6820613400069817, 0.6798051042475117, 0.6333100507383679, 0.5927674157396107]","['272210.KS', '021240.KS', '042660.KS', '352820.KS', '051600.KS']","[-0.1571184725706463, -0.14700072326927313, -0.13703512719562885, -0.11848449698590298, -0.10773886589949637]"
003230.KS,"['000150.KS', '128940.KS', '000660.KS', '298040.KS', '062040.KS']","[0.44539356943184893, 0.42876302069643035, 0.42218655129409566, 0.39587327304363473, 0.39324601613225835]","['030200.KS', '036460.KS', '003490.KS', '051910.KS', '005850.KS']","[-0.39653362914510243, -0.22229649617427324, -0.16891393884517214, -0.1654651985456272, -0.14746285047653457]"
003490.KS,"['020560.KS', '015760.KS', '139130.KS', '138930.KS', '069960.KS']","[0.6509326192007628, 0.48845937940251855, 0.45541766123727584, 0.4486966467912365, 0.4147357178849429]","['377300.KS', '064350.KS', '329180.KS', '042660.KS', '003230.KS']","[-0.22710316605706612, -0.2111821456608112, -0.19174881621935674, -0.1875558149251208, -0.16891393884517214]"
003550.KS,"['005940.KS', '034730.KS', '006800.KS', '071050.KS', '005830.KS']","[0.6493767736126924, 0.6366893907118785, 0.6318850404031302, 0.6169388093598167, 0.6163731628017679]","['042660.KS', '009450.KS', '012450.KS', '267270.KS', '272210.KS']","[-0.1975216327382217, -0.1801127644046608, -0.09700424515560782, -0.0752205381756539, -0.0681934197181605]"
003570.KS,"['079550.KS', '064350.KS', '272210.KS', '047810.KS', '012450.KS']","[0.6649821546860838, 0.6631345408977088, 0.5099906764805935, 0.49991643358076626, 0.4961834370763206]","['081660.KS', '073240.KS', '018880.KS', '021240.KS', '030200.KS']","[-0.2667373242928847, -0.24618143735054937, -0.2316851452564038, -0.1740210309862628, -0.15956419225033663]"
003670.KS,"['361610.KS', '005070.KS', '022100.KS', '066970.KS', '450080.KS']","[0.7722878483748367, 0.7355036802244064, 0.7305461703764622, 0.7249005758205408, 0.6965529032993808]","['375500.KS', '267270.KS', '443060.KS', '294870.KS', '042660.KS']","[-0.11858771795789416, -0.11771253925209943, -0.1070762680511391, -0.10613379435966158, -0.0971922189867398]"
003690.KS,"['009970.KS', '071050.KS', '055550.KS', '001720.KS', '035250.KS']","[0.4948466095801133, 0.4694141344263878, 0.4689478159536033, 0.46307231438501684, 0.4430456394990559]","['280360.KS', '017960.KS', '042660.KS', '112610.KS', '097950.KS']","[-0.22588260464206944, -0.18969197937830268, -0.17964381077487784, -0.15931663906583618, -0.12662511683158673]"
004020.KS,"['005490.KS', '011170.KS', '051910.KS', '011780.KS', '047050.KS']","[0.7893748818135655, 0.7010761334174022, 0.6788599168994454, 0.6308025466470573, 0.6002931817380831]","['012630.KS', '010130.KS', '003690.KS', '017800.KS', '018260.KS']","[-0.15463547640790198, -0.11346227267164233, -0.10952453868362896, -0.10925397627491981, -0.08470171383580548]"
004170.KS,"['069960.KS', '023530.KS', '383220.KS', '002790.KS', '139480.KS']","[0.7753745389045329, 0.6526411316690061, 0.5930623676109701, 0.5874796033299775, 0.5587603751478069]","['042660.KS', '010130.KS', '329180.KS', '204320.KS', '267270.KS']","[-0.16968791827707583, -0.15288023229489026, -0.1526332406273012, -0.09519031687068666, -0.06933962323175245]"
